batch_id,event_id,event_class,station,audited_positive_channels,usable_channels,questionable_channels,rejected_channels,request_integrity_status
4,levent-09224,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-09228,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-09232,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-09252,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-09268,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-09269,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-09276,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-09277,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-09278,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-09308,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-09321,natural_impact,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-09325,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-09332,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-09348,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-09360,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-09367,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-09378,natural_impact,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-09385,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-09390,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-09427,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-09513,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-09589,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-09599,deep_moonquake_assigned,S16,SHZ,SHZ,,,usable_integrity
4,levent-09623,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-09691,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-09693,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-09694,deep_moonquake_assigned,S16,SHZ,SHZ,,,usable_integrity
4,levent-09705,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-09775,deep_moonquake_assigned,S16,SHZ,SHZ,,,usable_integrity
4,levent-09776,deep_moonquake_assigned,S16,SHZ,SHZ,,,usable_integrity
4,levent-09816,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-09890,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-09899,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-10013,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-10129,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-10154,deep_moonquake_assigned,S16,SHZ,SHZ,,,usable_integrity
4,levent-10245,deep_moonquake_assigned,S16,SHZ,SHZ,,,usable_integrity
4,levent-10552,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-10588,deep_moonquake_assigned,S16,SHZ,SHZ,,,usable_integrity
4,levent-10592,deep_moonquake_assigned,S16,SHZ,SHZ,,,usable_integrity
4,levent-10710,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-10725,deep_moonquake_assigned,S16,SHZ,SHZ,,,usable_integrity
4,levent-10729,deep_moonquake_assigned,S16,SHZ,SHZ,,,usable_integrity
4,levent-10739,deep_moonquake_assigned,S16,SHZ,SHZ,,,usable_integrity
4,levent-10774,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-10825,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-10860,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-10867,deep_moonquake_assigned,S16,SHZ,SHZ,,,usable_integrity
4,levent-10869,deep_moonquake_assigned,S16,SHZ,SHZ,,,usable_integrity
4,levent-10906,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-10924,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-10957,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-10968,deep_moonquake_unclassified,S16,SHZ,SHZ,,,usable_integrity
4,levent-10985,deep_moonquake_assigned,S16,SHZ,SHZ,,,usable_integrity
4,levent-11111,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-11129,deep_moonquake_assigned,S16,SHZ,SHZ,,,usable_integrity
4,levent-11346,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-11479,deep_moonquake_assigned,S16,SHZ,SHZ,,,usable_integrity
4,levent-11500,deep_moonquake_assigned,S16,SHZ,SHZ,,,usable_integrity
4,levent-11548,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-11615,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-11663,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-11667,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-11739,deep_moonquake_assigned,S16,SHZ,SHZ,,,usable_integrity
4,levent-11915,natural_impact,S16,SHZ,SHZ,,,usable_integrity
4,levent-11998,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-12004,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-12011,deep_moonquake_unclassified,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-12019,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-12023,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-12047,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-12048,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-12052,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-12067,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-12072,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
4,levent-12076,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-12091,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-12094,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
4,levent-12095,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
4,levent-12106,deep_moonquake_assigned,S16,MH1;MH2;SHZ,MH1;MH2;SHZ,,,usable_integrity
4,levent-12115,natural_impact,S16,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
