event_id,event_class,reference_time,station,positive_channels,required_station_days,crosses_day_boundary,complete_positive_channels,missing_positive_channels,station_request_usable
levent-07575,natural_impact,1974-01-10T23:21:00,S15,MH1;MH2;MHZ,1974-010,0,MH1;MH2;MHZ,,1
levent-07575,natural_impact,1974-01-10T23:21:00,S16,MH1;MH2;MHZ,1974-010,0,MH1;MH2;MHZ,,1
levent-07637,natural_impact,1974-02-02T20:20:00,S15,MH1;MH2;MHZ;SHZ,1974-033,0,MH1;MH2;MHZ;SHZ,,1
levent-07639,natural_impact,1974-02-03T01:03:00,S12,MH1;MH2;MHZ,1974-034,0,MH1;MH2;MHZ,,1
levent-07639,natural_impact,1974-02-03T01:03:00,S14,MH1;MH2;SHZ,1974-034,0,MH1;MH2;SHZ,,1
levent-07648,natural_impact,1974-02-06T00:55:00,S15,MH1;MH2;MHZ;SHZ,1974-037,0,MH1;MH2;MHZ;SHZ,,1
levent-07648,natural_impact,1974-02-06T00:55:00,S16,MH1;MH2;MHZ,1974-037,0,MH1;MH2;MHZ,,1
levent-07652,natural_impact,1974-02-07T06:21:00,S12,MH1;MH2;MHZ,1974-038,0,MH1;MH2;MHZ,,1
levent-07652,natural_impact,1974-02-07T06:21:00,S14,MH1;MH2;SHZ,1974-038,0,MH1;MH2;SHZ,,1
levent-07652,natural_impact,1974-02-07T06:21:00,S15,MH1;MH2;MHZ,1974-038,0,MH1;MH2;MHZ,,1
levent-07652,natural_impact,1974-02-07T06:21:00,S16,MH1;MH2;MHZ;SHZ,1974-038,0,MH1;MH2;MHZ;SHZ,,1
levent-07672,natural_impact,1974-02-12T22:30:00,S12,MH1;MH2;MHZ,1974-043,0,MH1;MH2;MHZ,,1
levent-07672,natural_impact,1974-02-12T22:30:00,S14,MH1;MH2;SHZ,1974-043,0,MH1;MH2;SHZ,,1
levent-07734,natural_impact,1974-02-19T22:07:00,S15,MH1;MH2;SHZ,1974-050,0,MH1;MH2;SHZ,,1
levent-07744,natural_impact,1974-02-22T06:05:00,S12,MH1;MH2,1974-053,0,MH1;MH2,,1
levent-07744,natural_impact,1974-02-22T06:05:00,S14,MH1;MH2;SHZ,1974-053,0,MH1;MH2;SHZ,,1
levent-07744,natural_impact,1974-02-22T06:05:00,S15,MH1;MH2;MHZ,1974-053,0,MH1;MH2;MHZ,,1
levent-07744,natural_impact,1974-02-22T06:05:00,S16,MH1;MH2;MHZ;SHZ,1974-053,0,MH1;MH2;MHZ;SHZ,,1
levent-07745,natural_impact,1974-02-22T13:31:00,S12,MH1;MH2,1974-053,0,MH1;MH2,,1
levent-07745,natural_impact,1974-02-22T13:31:00,S14,MH1;MH2,1974-053,0,MH1;MH2,,1
levent-07745,natural_impact,1974-02-22T13:31:00,S16,MH1;MH2,1974-053,0,MH1;MH2,,1
levent-07747,natural_impact,1974-02-24T05:14:00,S14,MH1;MH2;SHZ,1974-055,0,MH1;MH2;SHZ,,1
levent-07759,deep_moonquake_assigned,1974-02-27T02:56:00,S12,MH1;MH2,1974-058,0,MH1;MH2,,1
levent-07759,deep_moonquake_assigned,1974-02-27T02:56:00,S14,MH1;MH2,1974-058,0,MH1;MH2,,1
levent-07759,deep_moonquake_assigned,1974-02-27T02:56:00,S15,MH1;MH2;MHZ,1974-058,0,MH1;MH2;MHZ,,1
levent-07759,deep_moonquake_assigned,1974-02-27T02:56:00,S16,MH1;MH2;MHZ,1974-058,0,MH1;MH2;MHZ,,1
levent-07761,deep_moonquake_assigned,1974-02-27T06:27:00,S12,MH1;MH2,1974-058,0,MH1;MH2,,1
