station,year,doy,block_id,day_in_block,selection_seed,prior_station_day_overlap,att_and_primary_mh_available,selected_primary_channel,selected_bytes,att_sample_rate_hz,waveform_sample_rate_hz,att_trace_start,att_trace_end,waveform_trace_start,waveform_trace_end,att_gap_fraction,att_longest_gap_seconds,waveform_gap_fraction,waveform_longest_gap_seconds,day_integrity_status,candidate_scan_window_count,passing_scan_window_count,scannable_union_seconds
S14,1975,346,S14_B2,1,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881,1.65625,6.625,1975-12-12T00:00:00.523000Z,1975-12-13T00:00:02.938094Z,1975-12-12T00:00:00.598000Z,1975-12-13T00:00:03.465925Z,0.10757835156004332,3918.490566037736,0.10766919394849936,3918.490566037736,questionable_integrity,1431,1255,77940
S14,1975,347,S14_B2,2,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1554457,1.65625,6.625,1975-12-13T00:00:00.546000Z,1975-12-14T00:00:05.979962Z,1975-12-13T00:00:00.621000Z,1975-12-14T00:00:06.507792Z,0.07330025854237998,2578.7169811320755,0.07622632939696737,2578.7169811320755,usable_integrity,1431,1226,77880
S14,1975,348,S14_B2,3,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1533977,1.65625,6.625,1975-12-14T00:00:00.564000Z,1975-12-15T00:00:05.394189Z,1975-12-14T00:00:00.639000Z,1975-12-15T00:00:05.922019Z,0.008266426290449937,681.0566037735849,0.00842888986716419,681.0566037735849,usable_integrity,1431,1414,85920
S14,1975,349,S14_B2,4,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1533977,1.65625,6.625,1975-12-15T00:00:00.061000Z,1975-12-16T00:00:05.494962Z,1975-12-15T00:00:00.136000Z,1975-12-16T00:00:06.022792Z,0.004360282300328418,104.45283018867924,0.0044511215149185945,104.45283018867924,usable_integrity,1431,1431,86400
S14,1975,350,S14_B2,5,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1533977,1.65625,6.625,1975-12-16T00:00:00.480000Z,1975-12-17T00:00:04.706415Z,1975-12-16T00:00:00.555000Z,1975-12-17T00:00:05.234245Z,2.7950918187662463e-05,1.2075471698113207,0.0001257791318444811,1.2075471698113207,usable_integrity,1431,1431,86400
S14,1975,351,S14_B2,6,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1579033,1.65625,6.625,1975-12-17T00:00:00.084000Z,1975-12-18T00:00:04.914189Z,1975-12-17T00:00:00.159000Z,1975-12-18T00:00:05.442019Z,0.010202013849583184,877.8867924528302,0.0166027293880888,877.8867924528302,usable_integrity,1431,1410,85680
S14,1975,352,S14_B2,7,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1407001,1.65625,6.625,1975-12-18T00:00:00.579000Z,1975-12-18T22:01:21.484660Z,1975-12-18T00:00:00.654000Z,1975-12-18T22:01:22.012491Z,7.6155662173482594e-06,0.6037735849056604,3.6173939532404236e-05,0.6037735849056604,usable_integrity,1431,1314,79380
S14,1975,353,S14_B2,8,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881,1.65625,6.625,1975-12-19T00:00:00.023000Z,1975-12-20T00:00:04.249415Z,1975-12-19T00:00:00.098000Z,1975-12-20T00:00:04.777245Z,0.0007546747910668866,18.11320754716981,0.0007791318444810912,18.11320754716981,usable_integrity,1431,1431,86400
S14,1975,354,S14_B2,9,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1533977,1.65625,6.625,1975-12-20T00:00:00.142000Z,1975-12-21T00:00:04.368415Z,1975-12-20T00:00:00.217000Z,1975-12-21T00:00:04.896245Z,0.0003913128546272745,18.71698113207547,0.00045420242054951504,18.71698113207547,usable_integrity,1431,1431,86400
S14,1975,355,S14_B2,10,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1525785,1.65625,6.625,1975-12-21T00:00:00.237000Z,1975-12-21T23:46:22.123792Z,1975-12-21T00:00:00.312000Z,1975-12-21T23:46:22.651623Z,0.010617583564968324,181.1320754716981,0.011143171588616257,181.1320754716981,usable_integrity,1431,1382,85500
S14,1975,356,S14_B2,11,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1525785,1.65625,6.625,1975-12-22T00:05:51.583850Z,1975-12-23T00:00:05.017812Z,1975-12-22T00:05:51.658850Z,1975-12-23T00:00:05.545642Z,0.02674580956590681,2108.9811320754716,0.026787906852736673,2108.9811320754716,usable_integrity,1431,1386,84240
S14,1975,357,S14_B2,12,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1533977,1.65625,6.625,1975-12-23T00:00:00.496000Z,1975-12-24T00:00:05.326189Z,1975-12-23T00:00:00.571000Z,1975-12-24T00:00:05.854019Z,0.0024736389744879775,97.81132075471699,0.0025400219413174575,97.81132075471699,usable_integrity,1431,1431,86400
S14,1975,358,S14_B2,13,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881,1.65625,6.625,1975-12-24T00:00:00.476000Z,1975-12-25T00:00:05.306189Z,1975-12-24T00:00:00.551000Z,1975-12-25T00:00:05.834019Z,0.0007546695176404,6.6415094339622645,0.0007546695176404,6.6415094339622645,usable_integrity,1431,1431,86400
S14,1975,359,S14_B2,14,lunaseis-contiguous-evaluation-v0.1,0,1,MH1,1529881,1.65625,6.625,1975-12-25T00:00:00.204000Z,1975-12-26T00:00:05.637962Z,1975-12-25T00:00:00.279000Z,1975-12-26T00:00:06.165792Z,0.0030396198728250994,165.43396226415095,0.0030640765844455312,165.43396226415095,usable_integrity,1431,1422,86400
S15,1973,314,S15_B1,1,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1973-11-10T00:00:00.417000Z,1973-11-11T00:00:04.643415Z,1973-11-10T00:00:00.530000Z,1973-11-11T00:00:05.209245Z,0.011676496072895995,202.26415094339623,0.01168523073482964,202.26415094339623,usable_integrity,1431,1410,85980
S15,1973,315,S15_B1,2,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1973-11-11T00:00:00.303000Z,1973-11-12T00:00:04.529415Z,1973-11-11T00:00:00.416000Z,1973-11-12T00:00:05.095245Z,0.024233446068703358,672.6037735849056,0.024235193001090085,672.6037735849056,usable_integrity,1431,1378,84300
S15,1973,316,S15_B1,3,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1973-11-12T00:00:00.182000Z,1973-11-13T00:00:04.408415Z,1973-11-12T00:00:00.295000Z,1973-11-13T00:00:04.974245Z,0.0020334292981524444,131.62264150943398,0.002038670095312631,131.62264150943398,usable_integrity,1431,1422,86400
S15,1973,317,S15_B1,4,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1973-11-13T00:00:00.066000Z,1973-11-14T00:00:04.896189Z,1973-11-13T00:00:00.179000Z,1973-11-14T00:00:05.462019Z,0.00010481521078338889,4.830188679245283,0.00010481521078338889,4.830188679245283,usable_integrity,1431,1431,86400
S15,1973,318,S15_B1,5,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1973-11-14T00:00:00.520000Z,1973-11-15T00:00:04.746415Z,1973-11-14T00:00:00.633000Z,1973-11-15T00:00:05.312245Z,0.006281968862677139,216.75471698113208,0.006435698912709282,216.75471698113208,usable_integrity,1431,1413,85860
S15,1973,319,S15_B1,6,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1973-11-15T00:00:00.417000Z,1973-11-16T00:00:04.643415Z,1973-11-15T00:00:00.530000Z,1973-11-16T00:00:05.209245Z,0.0014953741230399418,91.16981132075472,0.0015390474327081644,91.16981132075472,usable_integrity,1431,1431,86400
S15,1973,320,S15_B1,7,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1973-11-16T00:00:00.462000Z,1973-11-17T00:00:04.084642Z,1973-11-16T00:00:00.575000Z,1973-11-17T00:00:04.650472Z,0.06728531797885498,772.2264150943396,0.06729230575723061,772.2264150943396,usable_integrity,1431,1254,80760
S15,1973,321,S15_B1,8,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1533977,1.65625,6.625,1973-11-17T00:00:00.331000Z,1973-11-18T00:00:02.142321Z,1973-11-17T00:00:00.444000Z,1973-11-18T00:00:02.708151Z,0.009566469141323792,271.6981132075472,0.009606649709302325,271.6981132075472,usable_integrity,1431,1411,86280
S15,1973,322,S15_B1,9,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1973-11-18T00:00:00.082000Z,1973-11-18T23:59:48.610302Z,1973-11-18T00:00:00.195000Z,1973-11-18T23:59:49.176132Z,0.048370864259655304,3979.4716981132074,0.04837610600914161,3979.4716981132074,usable_integrity,1431,1350,82620
S15,1973,323,S15_B1,10,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1973-11-19T00:00:39.818217Z,1973-11-19T23:59:59.969160Z,1973-11-19T00:00:39.931217Z,1973-11-20T00:00:00.534991Z,0.0013702939839899326,56.75471698113208,0.0013737896319082742,56.75471698113208,usable_integrity,1431,1431,86400
S15,1973,324,S15_B1,11,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1973-11-20T00:00:00.131000Z,1973-11-21T00:00:00.131000Z,1973-11-20T00:00:00.244000Z,1973-11-21T00:00:00.696830Z,0.0009224254198083871,49.509433962264154,0.0009276664733300256,49.509433962264154,usable_integrity,1431,1431,86400
S15,1973,325,S15_B1,12,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1973-11-21T00:00:00.361000Z,1973-11-21T23:59:59.757226Z,1973-11-21T00:00:00.474000Z,1973-11-22T00:00:00.323057Z,0.10218029350104822,8553.056603773584,0.10228860936408106,8553.056603773584,questionable_integrity,1431,1280,77880
S15,1973,326,S15_B1,13,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1973-11-22T00:00:00.033000Z,1973-11-23T00:00:00.033000Z,1973-11-22T00:00:00.146000Z,1973-11-23T00:00:00.598830Z,0.006764453078594838,299.47169811320754,0.0068745152025492485,299.47169811320754,usable_integrity,1431,1410,86220
S15,1973,327,S15_B1,14,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1973-11-23T00:00:00.341000Z,1973-11-23T23:59:59.737226Z,1973-11-23T00:00:00.454000Z,1973-11-24T00:00:00.303057Z,0.0031306778476589796,100.83018867924528,0.003425925925925926,100.83018867924528,usable_integrity,1431,1431,86400
S15,1975,347,S15_B2,1,lunaseis-contiguous-evaluation-v0.1,0,1,MHZ,1529881,1.65625,6.625,1975-12-13T00:00:00.475000Z,1975-12-14T00:00:04.097642Z,1975-12-13T00:00:00.588000Z,1975-12-14T00:00:04.663472Z,0.006806096137854892,182.9433962264151,0.00682531252838785,182.9433962264151,usable_integrity,1431,1412,86340
